DATAFLOW,LAST UPDATE,freq,indic_is,unit,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BROAD,PC_HH,TOTAL,EU27_2020,2017-01-01,83.48,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BROAD,PC_HH,TOTAL,NL,2017-01-01,97.8,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BROAD,PC_HH,TOTAL,EU27_2020,2018-01-01,84.91,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BROAD,PC_HH,TOTAL,NL,2018-01-01,97.41,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BROAD,PC_HH,TOTAL,EU27_2020,2019-01-01,87.53,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BROAD,PC_HH,TOTAL,NL,2019-01-01,97.92,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BROAD,PC_HH,TOTAL,EU27_2020,2020-01-01,89.36,e,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BROAD,PC_HH,TOTAL,NL,2020-01-01,96.95,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BROAD,PC_HH,TOTAL,EU27_2020,2021-01-01,90.2,b,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BROAD,PC_HH,TOTAL,NL,2021-01-01,98.56,,
