DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_PEPS11N(1.0),24/04/26 23:00:00,A,PC,ITG1,2015-01-01,50.7,,
ESTAT:ILC_PEPS11N(1.0),24/04/26 23:00:00,A,PC,ITG1,2016-01-01,50.1,,
ESTAT:ILC_PEPS11N(1.0),24/04/26 23:00:00,A,PC,ITG1,2017-01-01,48.9,,
ESTAT:ILC_PEPS11N(1.0),24/04/26 23:00:00,A,PC,ITG1,2018-01-01,49.5,,
ESTAT:ILC_PEPS11N(1.0),24/04/26 23:00:00,A,PC,ITG1,2019-01-01,45.4,,
ESTAT:ILC_PEPS11N(1.0),24/04/26 23:00:00,A,PC,ITG1,2020-01-01,44.1,,
ESTAT:ILC_PEPS11N(1.0),24/04/26 23:00:00,A,PC,ITG1,2021-01-01,42.5,,
ESTAT:ILC_PEPS11N(1.0),24/04/26 23:00:00,A,PC,ITG1,2022-01-01,41.4,,
ESTAT:ILC_PEPS11N(1.0),24/04/26 23:00:00,A,PC,ITG1,2023-01-01,41.4,,
ESTAT:ILC_PEPS11N(1.0),24/04/26 23:00:00,A,PC,ITG1,2024-01-01,40.9,,
ESTAT:ILC_PEPS11N(1.0),24/04/26 23:00:00,A,PC,ITG1,2025-01-01,44.0,,
