DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2000-01-01,9.3,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2001-01-01,9.0,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2002-01-01,9.2,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2003-01-01,9.5,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2004-01-01,9.8,b,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2005-01-01,10.3,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2006-01-01,10.9,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2007-01-01,11.5,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2008-01-01,11.9,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2009-01-01,12.5,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2010-01-01,12.4,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2011-01-01,12.1,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2012-01-01,13.0,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2013-01-01,13.4,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2014-01-01,13.3,b,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2015-01-01,13.2,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2016-01-01,13.1,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2017-01-01,13.6,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2018-01-01,14.0,b,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2019-01-01,14.2,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2020-01-01,14.6,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2021-01-01,14.8,b,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2022-01-01,15.2,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2023-01-01,16.8,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2024-01-01,17.8,,
ESTAT:EDAT_LFSE_04(1.0),16/04/26 23:00:00,A,T,ED5-8,Y25-64,PC,ITG1,2025-01-01,16.9,,
